,地缘政治,气候政策,新能源指数,绿色债券指数,碳价,INE原油,天然气价格,焦炭价格
地缘政治,0.6079585454932788,0.17780727134036847,0.0,0.0,0.0,0.0,0.0,0.0014930302831468066
气候政策,0.0,0.44475848166368975,0.0,0.0,0.0,0.0,0.0,0.0
新能源指数,0.11844852699748402,0.37596583180542886,0.012526926161992892,0.0013786148834285489,0.0750740897923356,0.03963563677214393,0.031177443915147752,0.09789644753563603
绿色债券指数,0.016607056555565422,0.007719232560948613,0.0,7.602402592596621e-05,0.015091222559164237,0.00019092680588082508,0.0005193801400705657,0.004311313640846731
碳价,0.275226053005459,0.5263924130587512,0.0,0.0,0.21259753218167704,0.0,0.004077957605684843,0.0
INE原油,0.3950251156017552,0.018968580125188348,0.0,0.0,0.01542168777950398,0.011496961909249408,0.03039539603815793,0.0
天然气价格,0.14033116246761806,0.19397536680356423,0.0,0.0,0.0,0.0,0.058042551315112205,0.027616096057605254
焦炭价格,0.0,0.5124686109463844,0.0,0.0,0.006316087128963774,0.03769530681672971,0.0,0.17360534875001668
