指标名称,中债-中国绿色债券指数,期货结算价(连续):INE原油,中国:碳市场碳排放配额(CEA):最新价,中国:碳市场碳排放配额(CEA):成交量,中国液化天然气出厂价格指数,期货结算价(连续):焦炭,期货结算价(连续):焦煤
2012/8/27,112.6954,,,,,1561,
2012/8/28,112.6338,,,,,1555,
2012/8/29,112.627,,,,,1544,
2012/8/30,112.6454,,,,,1519,
2012/8/31,112.6627,,,,,1519,
2012/9/3,112.7528,,,,,1477,
2012/9/4,112.7898,,,,,1477,
2012/9/5,112.8089,,,,,1477,
2012/9/6,112.8058,,,,,1477,
2012/9/7,112.7992,,,,,1520,
2012/9/10,112.7446,,,,,1576,
2012/9/11,112.7396,,,,,1499,
2012/9/12,112.6604,,,,,1500,
2012/9/13,112.6391,,,,,1500,
2012/9/14,112.431,,,,,1523,
2012/9/17,112.3787,,,,,1434,
2012/9/18,112.3435,,,,,1434,
2012/9/19,112.3403,,,,,1434,
2012/9/20,112.3856,,,,,1434,
2012/9/21,112.4376,,,,,1434,
2012/9/24,112.4615,,,,,1434,
2012/9/25,112.5304,,,,,1434,
2012/9/26,112.5943,,,,,1434,
2012/9/27,112.6704,,,,,1434,
2012/9/28,112.7221,,,,,1434,
2012/9/29,112.7559,,,,,,
2012/10/8,112.8335,,,,,1434,
2012/10/9,112.8229,,,,,1434,
2012/10/10,112.909,,,,,1434,
2012/10/11,113.0513,,,,,1434,
2012/10/12,113.1891,,,,,1434,
