,地缘政治,气候政策,新能源,绿色债券,碳价,原油,天然气,焦炭
地缘政治,0.46226583967509005,0.0,0.3319452348991376,0.08449287503849104,0.043242007537463864,0.289024183600451,0.09361299838134256,0.5401902892654806
气候政策,0.1099247648578543,0.20247088117644932,0.038633371898671956,0.0908406437404462,0.34986777563894694,0.19874459757115226,0.32333006409123377,0.175862526261854
新能源,0.0,0.0,0.41799674613095594,0.007406627648190548,0.07653280702299552,0.0,0.002172216975004318,0.09736585411593297
绿色债券,0.0,0.0,0.0,0.03582297821720156,0.0,0.0,0.0,0.0
碳价,0.0,0.0,0.0,0.03443861665024045,0.4632569331435833,0.10368250678878271,0.08498383633674293,0.0013960449647633655
原油,0.0,0.0,0.0005580823121645786,0.24270821554089497,0.0,0.3563597074641032,0.11008298721350482,0.023115869619980838
天然气,0.0,0.0,0.0,0.15865729571821013,0.0,0.0,0.34270460046683915,0.0
焦炭,0.0,0.0,0.0,0.22726414917369156,0.0,0.0,0.15502084120045045,0.512123571480176
