date,cpu_index,old_cpu_index
17-Oct,107.9960189,133.2
17-Nov,150.3878823,221.65
17-Dec,141.8917263,104.52
18-Jan,120.6551214,92.65
18-Feb,117.812332,52.6
18-Mar,149.7899075,76.87
18-Apr,171.0598216,148.38
18-May,175.2114079,91.87
18-Jun,150.5158108,94.04
18-Jul,196.5221071,90.34
18-Aug,143.6970221,123.58
18-Sep,79.47310311,47.82
18-Oct,103.7215692,111.89
18-Nov,156.1780515,176.67
18-Dec,154.8508354,103.59
19-Jan,211.221614,185.25
19-Feb,263.6796844,185.08
19-Mar,165.9910569,187.66
19-Apr,94.5296649,83.42
19-May,116.1994316,140.1
19-Jun,173.196342,137.02
19-Jul,131.1424573,95.56
19-Aug,188.6663965,140.97
19-Sep,346.612379,629.02
19-Oct,199.8493538,164.76
19-Nov,170.0483914,157.05
19-Dec,242.8845589,264.05
20-Jan,209.3470847,268.8
20-Feb,205.0062418,215.66
20-Mar,276.603415,316.62
20-Apr,245.285638,390.78
20-May,221.9758722,177.38
20-Jun,138.3028987,174.99
20-Jul,133.1777329,224.2
20-Aug,202.7847937,204.27
20-Sep,184.3543472,217.45
20-Oct,272.16406,340.73
20-Nov,234.7634116,354.7
20-Dec,299.8446191,378.94
21-Jan,180.8233972,261.52
21-Feb,207.0713994,257.23
21-Mar,145.2818833,181.23
21-Apr,103.877858,121.45
21-May,167.901495,126.32
21-Jun,176.7582079,145.76
21-Jul,244.3479261,113.71
21-Aug,95.08021794,143.07
21-Sep,326.1647915,197.78
21-Oct,259.7489046,190.33
21-Nov,411.2888056,383.52
21-Dec,266.2633128,195.49
22-Jan,209.0009394,
22-Feb,221.277325,
22-Mar,229.6155689,
22-Apr,225.9682532,
22-May,235.5590969,
22-Jun,189.2958277,
22-Jul,336.7758492,
22-Aug,255.6456167,
22-Sep,178.5962387,
22-Oct,204.4393112,
22-Nov,220.3033416,
22-Dec,198.4815688,
23-Jan,213.5660193,
23-Feb,242.0564097,
23-Mar,287.5295264,
23-Apr,226.2019158,
23-May,227.9405454,
23-Jun,218.04583,
23-Jul,231.7006585,
23-Aug,153.4179509,
23-Sep,213.5992835,
23-Oct,150.6063625,
23-Nov,249.2877564,
23-Dec,240.1197379,
24-Jan,163.9665305,
24-Feb,197.2637171,
24-Mar,223.0533063,
24-Apr,160.574161,
24-May,241.9868018,
24-Jun,199.287765,
