,新能源指数,新能源指数,绿色债券指数,碳价,INE原油,天然气价格,焦炭价格
2018-03-27,1784.3914,0.024406048932295477,0.0003106823189060748,0.08701137698962969,-0.01720572554113975,-0.0183642272001574,0.0
2018-03-28,1752.9912,-0.01775381875244797,0.0007159087996395641,0.0,-0.029270382300112807,-0.000830220055989983,-0.05405253191344883
2018-03-29,1748.3821,-0.002632739937932449,0.0002407959511536717,-0.009791369129278138,-0.017785826377116898,-0.00443951894536454,0.024263666191879807
2018-03-30,1768.9008,0.011667490702897076,0.00041665147162106564,0.0,0.012701685175121824,-0.010904623643055444,-0.03070355965075766
2018-03-31,1768.9008,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,1768.9008,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-02,1761.1251,-0.00440547055250029,0.0013884935783368135,0.02253039490670794,0.012062872449274842,-0.025627826263431075,0.04423190450054637
2018-04-03,1733.3424,-0.015901298498365968,0.0007016887437503172,0.0,-0.027965348243333743,-0.016284163266378826,0.0
2018-04-04,1716.5819,-0.00971652152722946,0.0006332069284855635,-0.06268370229368658,-0.007922794599725336,-0.005585785506852403,0.0
2018-04-05,1716.5819,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-06,1716.5819,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-07,1716.5819,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-08,1716.5819,0.0,0.0006966763384310681,0.0,0.0,0.0,0.0
2018-04-09,1713.7296,-0.001662998043967967,0.0014088607093389882,0.0,-0.004484312447328165,-0.011266054528638492,0.0
2018-04-10,1724.2875,0.006141873575483459,0.00022930365059625757,0.0,0.02368726588959902,0.005648892678495443,0.0
2018-04-11,1733.8421,0.005525891402591299,0.0003119856077864469,-0.10506106963073503,0.019558754596520345,0.0,0.0
2018-04-12,1713.3509,-0.011888769417008227,0.0004345829072569529,0.09531017980432521,0.014716619745294146,-0.0002965159399046513,0.0
2018-04-13,1710.3841,-0.00173307849035087,0.0003917085250755292,0.0,0.003997653766038667,-0.0020780770429169593,0.0
2018-04-14,1710.3841,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-15,1710.3841,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-16,1695.335,-0.008837603752168022,0.0012256388906548565,0.03134884974126351,0.0042154629169051105,-0.006858532923489591,0.0
2018-04-17,1655.6812,-0.023667836069227732,0.00047360146375563517,-0.024026783130178586,-0.006565088058026802,-0.002396645844600087,0.0
2018-04-18,1682.3937,0.01600507539589735,0.008008372487398496,0.007805180251704957,0.0007054674013922124,-0.006922525763492615,-0.028347496394524718
