,地缘政治风险指数（GPR China）,气候政策风险指数（CCPU）,绿色债券指数,INE原油,碳市场碳排放配额价格,天然气出厂价格指数,焦煤期货价格
2021-07-16,0.5243344902992249,1.92771869702585,1.0,1.0,1.0,1.0,1.0
2021-07-17,0.5243344902992249,2.31367811917779,1.0,1.0,1.0,1.0,1.0
2021-07-18,0.5243344902992249,1.32836242393303,1.0,1.0,1.0,1.0,1.0
2021-07-19,0.5243344902992249,1.63380579157893,1.0006722455318853,0.9854047890535919,1.020886199492485,1.029289667896679,1.0083246618106139
2021-07-20,0.5243344902992249,1.36286327394842,1.001208798105274,0.9407069555302167,1.040015615850088,1.0276752767527675,1.0195109261186264
2021-07-21,0.5243344902992249,1.38344458140857,1.001976028708107,0.9229190421892817,1.0618778059730627,1.0318265682656826,1.0338189386056191
2021-07-22,0.5243344902992249,1.45372824311106,1.002595693218575,0.9470923603192702,1.0837399960960377,1.047739852398524,1.0400624349635796
2021-07-23,0.5243344902992249,1.02335130147836,1.0030740108972753,0.9678449258836943,1.112043724380246,1.047739852398524,1.0512486992715921
2021-07-24,0.5243344902992249,1.42306952966699,1.0030740108972753,0.9678449258836943,1.112043724380246,1.047739852398524,1.0512486992715921
2021-07-25,0.5243344902992249,1.3923338533308,1.0030740108972753,0.9678449258836943,1.112043724380246,1.047739852398524,1.0512486992715921
2021-07-26,0.5243344902992249,1.00715680072725,1.0039339650217476,0.9876852907639682,1.0630489947296506,1.0952490774907748,1.0598335067637876
2021-07-27,0.5243344902992249,1.10078018014521,1.0040736156915337,1.0034207525655645,1.0663673628733166,1.1236162361623616,1.0707596253902185
2021-07-28,0.5243344902992249,1.68539401604397,1.003887037873601,1.0118586088939567,1.0247901620144446,1.1346863468634687,1.0759625390218521
2021-07-29,0.5243344902992249,1.37676492762191,1.004166339213173,1.0114025085518814,1.0337692758149521,1.16190036900369,1.0939125910509886
2021-07-30,0.5243344902992249,1.47561924082979,1.0050178125277391,0.9309007981755986,1.057388249072809,1.1674354243542435,1.104318418314256
2021-07-31,0.5243344902992249,1.25509565949888,1.0050178125277391,0.9309007981755986,1.057388249072809,1.1674354243542435,1.104318418314256
2021-08-01,0.588945209980011,0.908417998467295,1.0050178125277391,0.9309007981755986,1.057388249072809,1.1674354243542435,1.104318418314256
2021-08-02,0.588945209980011,1.26651315010597,1.0067258476428156,1.031242873432155,1.0148350575834473,1.2255535055350553,1.0621748178980228
2021-08-03,0.588945209980011,1.48412802877455,1.006959352608895,1.0075256556442418,1.0431387858676557,1.2197878228782288,1.0621748178980228
2021-08-04,0.588945209980011,1.37627991484153,1.007033418348741,0.9851767388825542,1.1458130001951983,1.2232472324723247,1.0665972944849116
2021-08-05,0.588945209980011,1.45183656758831,1.0072974542304822,0.9774230330672748,1.0716377122779621,1.2223247232472325,1.151404786680541
2021-08-06,0.588945209980011,1.18097949254659,1.0075620554995508,0.9771949828962372,1.0337692758149521,1.235239852398524,1.0613943808532778
2021-08-07,0.588945209980011,1.01667128914434,1.0075620554995508,0.9771949828962372,1.0337692758149521,1.235239852398524,1.0613943808532778
2021-08-08,0.588945209980011,0.897816126867875,1.0075620554995508,0.9771949828962372,1.0337692758149521,1.235239852398524,1.0613943808532778
2021-08-09,0.588945209980011,0.998362051045456,1.0072471347583734,0.9724059293044469,1.0407964083544798,1.257610701107011,1.113423517169615
2021-08-10,0.588945209980011,1.30472547873796,1.006910729298767,0.9525655644241733,1.0798360335740778,1.2624538745387455,1.1344953173777315
2021-08-11,0.588945209980011,1.26099608344341,1.0068751098971618,0.9801596351197264,1.0911575248877612,1.2633763837638377,1.1508844953173778
2021-08-12,0.588945209980011,1.42285970539525,1.0072680540894747,0.9776510832383124,1.0819832129611557,1.2596863468634687,1.0611342351716961
2021-08-13,0.588945209980011,1.51335889589902,1.0073743469069638,0.9838084378563283,1.054069880929143,1.2596863468634687,1.1220083246618107
2021-08-14,0.588945209980011,1.3966731155223,1.0073743469069638,0.9838084378563283,1.054069880929143,1.2596863468634687,1.1220083246618107
2021-08-15,0.588945209980011,1.18271742675938,1.0073743469069638,0.9838084378563283,1.054069880929143,1.2596863468634687,1.1220083246618107
2021-08-16,0.588945209980011,1.04670256522034,1.0074902513090132,0.9774230330672748,0.9955104430997463,1.268450184501845,1.2565036420395421
2021-08-17,0.588945209980011,1.39614772149041,1.0073969624000465,0.9623717217787914,1.0103455006831934,1.2702952029520296,1.2614464099895941
2021-08-18,0.588945209980011,1.45343653606753,1.0078634069448789,0.9669327251995439,1.0124926800702714,1.2772140221402215,1.3119146722164412
2021-08-19,0.588945209980011,1.71730260577494,1.0081811546226915,0.958266818700114,0.9855553386687489,1.2811346863468636,1.3805931321540061
2021-08-20,0.588945209980011,1.18123299423155,1.0082591780738273,0.9331812998859749,0.9564708178801484,1.2956642066420665,1.4630593132154006
2021-08-21,0.588945209980011,1.4291695801994,1.0082591780738273,0.9331812998859749,0.9564708178801484,1.2956642066420665,1.4630593132154006
2021-08-22,0.588945209980011,0.981920844387822,1.0082591780738273,0.9331812998859749,0.9564708178801484,1.2956642066420665,1.4630593132154006
2021-08-23,0.588945209980011,1.35484391562359,1.0084010902929215,0.9233751425313569,0.9798945930119072,1.301429889298893,1.4630593132154006
2021-08-24,0.588945209980011,1.53867885621114,1.0086227221251327,0.9450399087799315,0.9798945930119072,1.297970479704797,1.4706035379812694
2021-08-25,0.588945209980011,1.69198091166613,1.0087855536753285,0.9753705815279361,0.9299238727308219,1.305581180811808,1.47684703433923
